2021-01-14 09:46:17,992 - data_util.log - INFO - log启动
2021-01-14 09:46:20,942 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-01-14 09:46:45,399 - data_util.log - INFO - log启动
2021-01-14 09:46:48,251 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 40
2021-01-14 09:47:51,482 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-01-14 09:47:54,391 - data_util.log - INFO - Bucket queue size: 6, Input queue size: 1987
2021-01-14 09:49:14,066 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:50:14,126 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:51:14,187 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:52:14,247 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:53:14,308 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:54:14,317 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:55:14,378 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:56:14,438 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:57:14,499 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:58:14,559 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 09:59:14,619 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:00:14,680 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:01:14,740 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:02:14,801 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:03:14,861 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:04:14,921 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:05:14,982 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:06:15,042 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:07:15,103 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:08:15,163 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-01-14 10:09:56,891 - data_util.log - INFO - log启动
2021-01-14 10:09:59,758 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-01-14 10:11:00,013 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-01-14 10:11:00,314 - data_util.log - INFO - Bucket queue size: 5, Input queue size: 996
2021-01-14 10:12:03,498 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:13:03,557 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:14:03,617 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:15:03,677 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:16:03,738 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:17:03,797 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:18:03,857 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:19:03,917 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:20:03,978 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:21:04,037 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:22:04,097 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:23:04,157 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:24:04,217 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:25:04,277 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:26:04,338 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:27:04,398 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:28:04,457 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:29:04,518 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:30:04,578 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:31:04,639 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:32:04,697 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:33:04,757 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:34:04,817 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:35:04,877 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:36:04,937 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 10:37:04,953 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:09:12,647 - data_util.log - INFO - log启动
2021-01-14 19:09:16,703 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-01-14 19:10:19,761 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-01-14 19:10:25,880 - data_util.log - INFO - Bucket queue size: 19, Input queue size: 984
2021-01-14 19:11:25,948 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:12:26,008 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:13:26,069 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:14:26,129 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:15:26,190 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:16:26,232 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:17:26,292 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:18:26,325 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:19:26,341 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:20:26,402 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:21:26,462 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:22:26,523 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:23:26,583 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:24:26,643 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-14 19:25:26,704 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
