2021-01-15 09:07:19,220 - data_util.log - INFO - log启动
2021-01-15 09:07:23,092 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 40
2021-01-15 09:08:23,412 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-01-15 09:08:23,832 - data_util.log - INFO - Bucket queue size: 1, Input queue size: 998
2021-01-15 09:09:23,896 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:10:23,956 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:11:24,017 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:12:24,077 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:13:24,137 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:14:24,198 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:15:24,258 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:16:24,319 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:17:24,379 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:18:24,440 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:19:24,500 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:25:26,480 - data_util.log - INFO - log启动
2021-01-15 09:25:29,281 - data_util.log - INFO - Bucket queue size: 1, Input queue size: 72
2021-01-15 09:26:30,189 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:27:34,055 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:28:34,114 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:29:34,174 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
2021-01-15 09:30:34,235 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1000
