2021-09-28 08:32:17,690 - data_util.log - INFO - log启动
2021-09-28 08:32:20,174 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 40
2021-09-28 08:33:21,468 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-09-28 08:33:36,544 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 1998
2021-09-28 08:34:36,608 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:35:44,422 - data_util.log - INFO - log启动
2021-09-28 08:35:46,751 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3
2021-09-28 08:36:48,319 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-09-28 08:36:57,047 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 1998
2021-09-28 08:37:57,108 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:38:57,168 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:39:57,228 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:40:57,289 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:41:57,349 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:42:57,409 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:43:57,470 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:44:57,530 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:45:57,590 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:46:57,651 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:47:57,711 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:48:57,771 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:49:57,832 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:50:57,892 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:51:57,952 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:52:58,012 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:53:58,073 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:54:58,133 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:55:58,193 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:56:58,254 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:57:58,314 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:58:58,363 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 08:59:58,367 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:00:58,427 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:01:58,488 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:02:58,548 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:03:58,608 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:04:58,669 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:05:58,729 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:06:58,789 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:07:58,850 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:08:58,910 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:09:58,970 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:10:59,030 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:11:59,091 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:12:59,151 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:13:59,211 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:14:59,272 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:15:59,332 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:16:59,392 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:17:59,453 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:18:59,513 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:19:59,573 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:20:59,634 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:21:59,694 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:22:59,755 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:23:59,815 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:24:59,875 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:25:59,936 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:26:59,996 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:28:00,056 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:29:00,117 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:30:00,177 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:31:00,237 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:32:00,298 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:33:00,358 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
2021-09-28 09:34:00,418 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2000
