2021-05-20 09:17:47,203 - data_util.log - INFO - log启动
2021-05-20 09:17:51,467 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 2
2021-05-20 09:18:51,664 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-20 09:18:52,248 - data_util.log - INFO - Bucket queue size: 2, Input queue size: 3990
2021-05-20 09:19:54,833 - data_util.log - INFO - Bucket queue size: 78, Input queue size: 3998
2021-05-20 09:20:54,946 - data_util.log - INFO - Bucket queue size: 420, Input queue size: 4000
2021-05-20 09:21:59,659 - data_util.log - INFO - Bucket queue size: 611, Input queue size: 3974
2021-05-20 09:23:15,683 - data_util.log - INFO - Bucket queue size: 665, Input queue size: 3996
2021-05-20 09:24:20,702 - data_util.log - INFO - Bucket queue size: 678, Input queue size: 4000
2021-05-20 09:26:04,573 - data_util.log - INFO - Bucket queue size: 927, Input queue size: 3067
2021-05-20 09:27:19,522 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:28:19,671 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:29:19,731 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:30:19,791 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:31:19,852 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:32:19,912 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:37:55,412 - data_util.log - INFO - log启动
2021-05-20 09:37:59,555 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3
2021-05-20 09:38:59,815 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-20 09:39:01,415 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3996
2021-05-20 09:40:06,233 - data_util.log - INFO - Bucket queue size: 17, Input queue size: 3987
2021-05-20 09:41:31,115 - data_util.log - INFO - Bucket queue size: 51, Input queue size: 3872
2021-05-20 09:42:38,772 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 1839
2021-05-20 09:43:43,373 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:44:43,656 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:45:43,996 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:46:46,821 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:53:30,548 - data_util.log - INFO - log启动
2021-05-20 09:53:34,696 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-05-20 09:54:34,820 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-20 09:54:34,979 - data_util.log - INFO - Bucket queue size: 2, Input queue size: 3990
2021-05-20 09:55:49,503 - data_util.log - INFO - Bucket queue size: 20, Input queue size: 3959
2021-05-20 09:56:49,569 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 2236
2021-05-20 09:57:49,633 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:58:49,696 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 09:59:49,760 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:00:51,785 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:01:54,731 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:02:55,947 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:03:59,639 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:07:07,189 - data_util.log - INFO - log启动
2021-05-20 10:07:11,113 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 40
2021-05-20 10:08:11,307 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-20 10:08:15,260 - data_util.log - INFO - Bucket queue size: 5, Input queue size: 3981
2021-05-20 10:09:22,177 - data_util.log - INFO - Bucket queue size: 22, Input queue size: 3988
2021-05-20 10:10:25,048 - data_util.log - INFO - Bucket queue size: 28, Input queue size: 3972
2021-05-20 10:11:28,245 - data_util.log - INFO - Bucket queue size: 46, Input queue size: 3987
2021-05-20 10:12:29,258 - data_util.log - INFO - Bucket queue size: 49, Input queue size: 3980
2021-05-20 10:13:56,884 - data_util.log - INFO - Bucket queue size: 71, Input queue size: 3992
2021-05-20 10:15:21,111 - data_util.log - INFO - Bucket queue size: 163, Input queue size: 3911
2021-05-20 10:16:21,336 - data_util.log - INFO - Bucket queue size: 581, Input queue size: 2712
2021-05-20 10:17:21,426 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:18:21,486 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:19:21,547 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:49:53,658 - data_util.log - INFO - log启动
2021-05-20 10:49:57,799 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3
2021-05-20 10:50:58,037 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-20 10:50:59,118 - data_util.log - INFO - Bucket queue size: 2, Input queue size: 3989
2021-05-20 10:51:59,251 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:53:00,064 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:54:00,405 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:55:00,828 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:56:01,592 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:57:01,793 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:58:05,841 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:59:06,553 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 10:59:38,980 - data_util.log - INFO - log启动
2021-05-20 10:59:42,865 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-05-20 11:00:43,163 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-20 11:00:50,028 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 3998
2021-05-20 11:02:09,912 - data_util.log - INFO - Bucket queue size: 24, Input queue size: 3980
2021-05-20 11:03:09,975 - data_util.log - INFO - Bucket queue size: 146, Input queue size: 3997
2021-05-20 11:04:10,036 - data_util.log - INFO - Bucket queue size: 150, Input queue size: 3996
2021-05-20 11:05:10,101 - data_util.log - INFO - Bucket queue size: 159, Input queue size: 3975
2021-05-20 11:06:10,162 - data_util.log - INFO - Bucket queue size: 541, Input queue size: 3937
2021-05-20 11:07:51,037 - data_util.log - INFO - Bucket queue size: 949, Input queue size: 3958
2021-05-20 11:08:58,691 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 11:09:59,816 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 4000
2021-05-20 11:13:50,395 - data_util.log - INFO - log启动
