2021-05-25 09:17:49,036 - data_util.log - INFO - log启动
2021-05-25 09:17:58,094 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 0
2021-05-25 09:18:58,167 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-25 09:18:58,185 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 7992
2021-05-25 09:19:58,260 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:20:58,322 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:21:58,401 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:22:58,473 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:23:58,561 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:24:58,630 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:25:58,696 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:26:58,764 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:27:58,832 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:28:58,900 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:29:58,964 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:30:59,036 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:31:59,096 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:32:59,166 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:33:59,225 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:34:59,294 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:35:59,363 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:36:59,426 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:37:59,488 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:38:59,563 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:39:59,624 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:40:59,687 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:41:59,747 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:42:59,807 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:43:59,867 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:44:59,927 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:45:59,987 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:47:00,047 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:48:00,107 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:48:26,001 - data_util.log - INFO - log启动
2021-05-25 09:48:35,175 - data_util.log - INFO - Bucket queue size: 0, Input queue size: 2
2021-05-25 09:49:35,236 - data_util.log - ERROR - Found batch queue thread dead. Restarting.
2021-05-25 09:49:35,238 - data_util.log - INFO - Bucket queue size: 30, Input queue size: 7992
2021-05-25 09:50:35,304 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:51:35,372 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:52:35,443 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:53:35,513 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
2021-05-25 09:54:35,585 - data_util.log - INFO - Bucket queue size: 1000, Input queue size: 8000
